name,longitude,latitude
BaoBao Tea,2.3401206,48.8557531
Au Chai de l'Abbaye,2.3365413,48.8537453
Soju Bar,2.3380238,48.854417
Pizza Miramar,2.3211241,48.8705692
Hippopotamus,2.3102774,48.8703638
Eric Kayser,2.3157665,48.8737653
Chez Ly,2.3163169,48.8738587
Saitama,2.3184375,48.8744903
La Traversée de Paris,2.3567615,48.8396584
O Bistrot de Tom,2.3224396,48.8738325
Shangralila,2.3233311,48.8713058
Matteo,2.3232715,48.8713495
Pompei,2.3240966,48.8724761
Hippopotamus,2.3250295,48.8751646
Starbucks,2.323651,48.8753759
Café Marco Polo,2.3254427,48.875257
Triadou Haussmann,2.3254911,48.8741599
Le Gaigne,2.3213046,48.8761914
Royal Express,2.3270121,48.8766444
Hippopotamus,2.326498,48.8831024
KFC,2.328396,48.8835944
Tabla Pizza,2.3277563,48.8832767
Léon de Bruxelles,2.3281748,48.883477
L'Étoile du Kashmir,2.3236837,48.8831342
Au Bon Sushi,2.320312,48.8801215
Au Bois D'Acacia,2.3202876,48.8799079
Le Publisher,2.3183206,48.8805205
Les Oreilles et La Queue,2.3091989,48.8733445
Brasserie Sicilienne,2.3072214,48.872445
Hélia,2.3085752,48.8707572
La Maison du Caviar,2.3016695,48.8705503
Al Ajami,2.302212,48.8697376
Ratn,2.302895,48.8671369
Mian Fan,2.337187,48.8766725
Villa Sophia,2.298485,48.8683182
Restaurant Yang,2.3021296,48.872439
Là-Haut,2.395467,48.8706337
Blaise et Basile,2.4041262,48.8600728
Lou Tiap,2.4006119,48.8583918
McDonald's,2.2960624,48.8755989
Hippopotamus,2.298135,48.8775425
La Biscotte,2.3041468,48.875207
McDonald's,2.299038,48.8728596
Au Bureau,2.3041384,48.8697905
La Haute Cloche,2.3000708,48.8694105
Ziti,2.3034453,48.86947
Sushi Shop,2.3123241,48.8733996
Honor,2.3196802,48.8694782
Five Guys,2.3055848,48.8700324
Maison de l'Alsace,2.3058242,48.8699522
Pomme de Pain,2.3068932,48.870411
Starbucks,2.3506256,48.8389834
Mango Thaï,2.3512141,48.8384933
Flunch,2.353083,48.861476
Starbucks,2.3503543,48.8604416
La Maison des Protéines,2.3354553,48.8737739
McDonald's,2.3927021,48.8885223
Istanbul Gourmand,2.3926163,48.8884941
L'Horloge,2.3930674,48.8885323
Nalas Aappakadai,2.3618001,48.8831626
Bharath,2.3614134,48.8829824
Thensurabi,2.360931,48.8835628
Les Rigoles,2.3902484,48.8733935
La Bulle,2.363611,48.8821165
Le Chansonnier,2.3641791,48.8787523
Le Phénicien,2.3647141,48.8800819
Chennai Dosa,2.3574552,48.8797114
Madras Café,2.3578445,48.8804717
Casa Roma,2.3643183,48.8784279
El Tequila Mexicana,2.3319948,48.8886685
Garnier,2.3261663,48.8753587
Melinda,2.3655267,48.8193723
Burger King,2.2958261,48.8752762
Monte Carlo,2.2958946,48.8753796
McDonald's,2.356348,48.8763139
Le Local BIO,2.3649189,48.8827554
Pomme de Pain,2.3802903,48.8282504
Starbucks,2.3769431,48.829903
Indiana Club,2.3793614,48.8281852
Fø Pizza,2.3805802,48.8283892
L'Avenue,2.3762846,48.8314453
Laurent & Fils,2.3756247,48.8321522
Mexi & Co,2.3460443,48.851126
Ô Soleil de Naples,2.3177917,48.851783
Le Bourbon,2.318879,48.8606391
McDonald's,2.3467162,48.8839633
Flam's,2.3202817,48.8426623
ZenZoo,2.336968,48.867757
Subway,2.3647086,48.8805633
Le Café Prud'h,2.3635682,48.8795889
East Bunker,2.3610528,48.876312
Le Château Landon,2.3625482,48.879209
New Festin Imperial,2.364392,48.8806851
Zaitoun (Léa Beyrouth),2.3675049,48.8827985
La Marina,2.3624545,48.8799026
Le Duc,2.3310982,48.8387533
Jockey Club,2.3302123,48.8395777
Grill Instanbul,2.3429924,48.8197872
,2.2875572,48.8671109
La Sardine,2.3727507,48.8740661
La Belle Chine,2.288445,48.8691923
Le Palanquin,2.2916401,48.8744699
Del Papa,2.2837909,48.8748891
Subway,2.3737173,48.846496
L'Ébauchoir,2.3811118,48.8498772
Le Berbère,2.3797387,48.8495091
Starbucks,2.2839987,48.8692051
La Table Lauriston,2.2855483,48.8654332
Brasserie du Mexique,2.2832232,48.8652388
Le Rapide de Lyon,2.3730628,48.8465065
Bouchon de la Gare,2.3733407,48.8463681
Hayashi Sushi,2.3733044,48.8465204
McDonald's,2.4062673,48.8772291
McDonald's,2.2776817,48.8576118
Akasaka,2.2805103,48.8585068
Planète Sushi,2.2804099,48.8599401
Manjé & co,2.282689,48.8606416
Brasserie Bofinger,2.3680433,48.8539095
La Scuderia,2.3145492,48.8396268
Le Termidor,2.3079006,48.841258
Hong Kong,2.3456817,48.876213
Folie's Café,2.3447471,48.873836
Parce Que !,2.3736079,48.8479223
Fric Frac,2.3639647,48.8724084
La boîte à Mam Ma,2.3468206,48.8516859
McDonald's,2.284676,48.877682
Le N°41,2.2700634,48.8551767
Le Bois le Vent,2.2745958,48.8575743
Le Bistro des Vignes,2.2797283,48.8564304
Café À La Fontaine,2.2759784,48.8529406
Nem 101,2.2695115,48.8556834
Alice Pizza,2.3822768,48.8950534
Le Refuge,2.3389426,48.8900052
Aux Artistes,2.3131222,48.8405932
Le Divin Berbère,2.3133856,48.8408995
La Turquoise,2.3112404,48.8377889
Roast,2.3666962,48.8801212
McDonald's,2.3854417,48.883301
Le Polo,2.2675935,48.8510948
Il Farniente,2.2686127,48.8495812
Oishii,2.3646012,48.8815607
Sakura,2.2664428,48.8483714
Buffalo Grill,2.3260583,48.8243384
Mangue Rouge,2.3258503,48.8235176
Subway,2.3253743,48.8235582
Grillades Istanbul,2.3263561,48.823257
Restaurant Pizzeria,2.3275974,48.8225466
Oxinara,2.316026,48.841015
Chez Trassoudaine,2.3651923,48.8286456
Le Cap Bon,2.3887324,48.8505335
